"['MV', 'Title', 'Artists', 'TW', 'LW', 'OC', 'PLS', 'PK']"
2022-11-07 to 2022-11-20,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
▲3,Read My Lips,"INNA, Farina",12,15,3,11,1
NEW,MORE,Theoz,14,-,1,10,14
NEW,off the table (with The Weeknd),"Ariana Grande, The Weeknd",15,-,1,8,15
NEW,TANTO,Samantha,15,-,1,8,15
NEW,UN POQUITO,"Samantha, Lérica",15,-,1,8,15
NEW,six thirty,Ariana Grande,18,-,1,7,18
NEW,safety net (feat. Ty Dolla $ign),"Ariana Grande, Ty Dolla $ign",18,-,1,7,18
NEW,TODO DE TI,Samantha,18,-,1,7,18
NEW,obvious,Ariana Grande,21,-,1,6,21
NEW,my hair,Ariana Grande,22,-,1,5,22
NEW,nasty,Ariana Grande,22,-,1,5,22
NEW,west side,Ariana Grande,22,-,1,5,22
NEW,love language,Ariana Grande,25,-,1,4,25
RE,Say So (feat. Nicki Minaj) - Original Version,"Doja Cat, Nicki Minaj",25,-,7,4,5²
▲5,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",25,30,9,4,1
RE,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",25,-,6,4,2
▼17,Del Mar,"Ozuna, Doja Cat, Sia",25,8,2,4,8
NEW,Resilient (ft. Aitana) [Tiësto Remix],"Katy Perry, Tiësto, Aitana",25,-,1,4,25
▲14,Side To Side,"Ariana Grande, Nicki Minaj",31,45,13,3,19
RE,X (with KAROL G),"Jonas Brothers, KAROL G",31,-,7,3,7
▲14,"thank u, next",Ariana Grande,31,45,12,3,11
RE,R.I.P.,"Anaju, Samantha, NIA",31,-,2,3,9
RE,Quiero Que Vuelvas,Samantha,31,-,2,3,10
RE,Midnight Sky,Miley Cyrus,31,-,4,3,5
NEW,MORE,Ewelina Lisowska,31,-,1,3,31
RE,Beautiful (feat. Camila Cabello),"Bazzi, Camila Cabello",31,-,5,3,10
NEW,ESPERE QUE TORNES,Samantha,31,-,1,3,31
NEW,NO PASA NADA,Samantha,31,-,1,3,31
▲4,Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",41,45,7,2,22
RE,Tenia Tanto Que Darte,Nena Daconte,41,-,5,2,6
RE,Here,Alessia Cara,41,-,6,2,10
▲4,Greedy,Ariana Grande,41,45,7,2,17
RE,Firework,Katy Perry,41,-,2,2,24
▼20,Enemigos,"Aitana, Reik",41,21,9,2,3
▼33,Pretty Savage,BLACKPINK,41,8,2,2,8
▼35,How You Like That,BLACKPINK,41,6,7,2,2
▼31,Crazy Over You,BLACKPINK,41,10,2,2,10
▼31,Love To Hate Me,BLACKPINK,41,10,2,2,10
▼37,Ice Cream (with Selena Gomez),"BLACKPINK, Selena Gomez",41,4,4,2,4
▼36,Bet You Wanna (feat. Cardi B),"BLACKPINK, Cardi B",41,5,2,2,5
▼11,Sour Candy (with BLACKPINK),"Lady Gaga, BLACKPINK",41,30,9,2,1²
RE,ON (feat. Sia),"BTS, Sia",41,-,5,2,7
RE,7 rings,Ariana Grande,41,-,13,2,11
NEW,All My Love (feat. Ariana Grande & Machel Montano) [Remix],"Major Lazer, Ariana Grande, Machel Montano",41,-,1,2,41
▼2,Like That (feat. Gucci Mane),"Doja Cat, Gucci Mane",41,39,2,2,39
RE,Can We Kiss Forever?,"Kina, Adriana Proenza",41,-,6,2,3
RE,The Way,"Ariana Grande, Mac Miller",41,-,4,2,22
RE,Demonios,Hugo Cobo,41,-,6,2,9
NEW,Friend De Semana,"Danna Paola, Luísa Sonza, Aitana",41,-,1,2,41
RE,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofía Reyes, Jason Derulo, De La Ghetto",41,-,8,2,12
NEW,Fusión del Núcleo,Chica Sobresalto,41,-,1,2,41
RE,Say So (feat. Nicki Minaj),"Doja Cat, Nicki Minaj",41,-,3,2,10
NEW,MORE,MARUV,41,-,1,2,41
▲4,Dumb,Eva B,41,45,8,2,2
NEW,Read My Lips (feat. Farina),"INNA, Farina",41,-,1,2,41
,,,,,,,
2020-09-28 to 2020-10-25,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
NEW,positions,Ariana Grande,1,-,1,124,1
NEW,"Baby, I'm Jealous (feat. Doja Cat)","Bebe Rexha, Doja Cat",2,-,1,62,2
▲5,Oh My Gawd,"Major Lazer, Mr Eazi, Nicki Minaj, K4mo",3,8,2,42,3
▲20,Ice Cream (with Selena Gomez),"BLACKPINK, Selena Gomez",4,24,3,27,4
NEW,Bet You Wanna (feat. Cardi B),"BLACKPINK, Cardi B",5,-,1,26,5
▲36,How You Like That,BLACKPINK,6,42,6,25,2
NEW,Lovesick Girls,BLACKPINK,7,-,1,24,7
NEW,Pretty Savage,BLACKPINK,8,-,1,23,8
NEW,Del Mar,"Ozuna, Doja Cat, Sia",8,-,1,23,8
NEW,Crazy Over You,BLACKPINK,10,-,1,22,10
NEW,Love To Hate Me,BLACKPINK,10,-,1,22,10
NEW,You Never Know,BLACKPINK,10,-,1,22,10
NEW,Enfance 80 (With Natalia Lacunza),"Videoclub, Natalia Lacunza",13,-,1,20,13
NEW,Loca,Melyssa,14,-,1,19,14
NEW,Corazón Sin Vida,"Aitana, Sebastian Yatra",15,-,1,18,15
▼14,Read My Lips,"INNA, Farina",15,1,2,18,1
NEW,Rota,Anaju,17,-,1,17,17
▼15,Santería,"Lola Indigo, Danna Paola, Denise Rosenthal",18,3,3,13,1
▼14,Tu Foto Del DNI,"Marmi, Aitana",19,5,2,11,5
▲13,Más De Lo Que Aposté,"Aitana, Morat",20,33,4,9,7
▲3,Enemigos,"Aitana, Reik",21,24,8,8,3
▼10,Me Quedo,"Aitana, Lola Indigo",21,11,8,8,8
▼6,Trendy,"Rvfv, Lola Indigo",21,15,4,8,15
▼9,4 besos,"Lola Indigo, Rauw Alejandro, Lalo Ebratt",24,15,7,7,2
RE,+,"Aitana, Cali Y El Dandee",25,-,7,6,6
▼6,Mujer Bruja,"Lola Indigo, Mala Rodríguez",25,19,3,6,19
▼8,Ya No Quiero Ná,Lola Indigo,27,19,4,5,19
▼16,Lola Bunny,"Lola Indigo, Don Patricio",27,11,8,5,11
RE,TROLLZ (with Nicki Minaj),"6ix9ine, Nicki Minaj",27,-,2,5,16
RE,No Broken Hearts (feat. Nicki Minaj),"Bebe Rexha, Nicki Minaj",30,-,9,4,3
NEW,Presiento,"Morat, Aitana",30,-,1,4,30
▼11,Sour Candy (with BLACKPINK),"Lady Gaga, BLACKPINK",30,19,8,4,1²
RE,Nada Sale Mal,Aitana,30,-,6,4,14
RE,MALA,"6ix9ine, Anuel AA",30,-,2,4,30
RE,FEFE,"6ix9ine, Nicki Minaj, Murda Beatz",30,-,2,4,30
RE,Si Tú La Quieres,"David Bisbal, Aitana",30,-,2,4,30
▼11,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",30,19,8,4,1
▼28,América,Eva B,30,2,4,4,1
▲3,God is a woman,Ariana Grande,39,42,10,3,5
▲3,no tears left to cry,Ariana Grande,39,42,10,3,10
NEW,TELÉFONO,Aitana,39,-,1,3,39
NEW,Like That (feat. Gucci Mane),"Doja Cat, Gucci Mane",39,-,1,3,39
▼31,911,Lady Gaga,39,8,2,3,8
NEW,TROLLZ - Alternate Edition (with Nicki Minaj),"6ix9ine, Nicki Minaj",39,-,1,3,39
NEW,Wait a Minute!,WILLOW,45,-,1,2,45
▼18,Side To Side,"Ariana Grande, Nicki Minaj",45,27,12,2,19
RE,Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",45,-,6,2,22
▼18,Into You,Ariana Grande,45,27,9,2,27
▼3,Thinking Bout You,Ariana Grande,45,42,2,2,42
▼18,Greedy,Ariana Grande,45,27,6,2,17
▼3,Bad Decisions,Ariana Grande,45,42,2,2,42
▼12,Let Me Love You,"Ariana Grande, Lil Wayne",45,33,7,2,22
▼3,Moonlight,Ariana Grande,45,42,2,2,42
▼18,Dangerous Woman,Ariana Grande,45,27,4,2,27
▼18,Be Alright,Ariana Grande,45,27,3,2,27
▼18,Everyday,"Ariana Grande, Future",45,27,3,2,27
▼12,Leave Me Lonely,"Ariana Grande, Macy Gray",45,33,2,2,33
RE,One Last Time,Ariana Grande,45,-,7,2,22
NEW,Hands On Me,"Ariana Grande, A$AP Ferg",45,-,1,2,45
RE,Vas A Quedarte,Aitana,45,-,2,2,29
RE,"thank u, next",Ariana Grande,45,-,11,2,11
RE,"break up with your girlfriend, i'm bored",Ariana Grande,45,-,10,2,17
NEW,Con La Miel En Los Labios,Aitana,45,-,1,2,45
▼37,"Kings & Queens, Pt. 2 (feat. Lauv & Saweetie)","Ava Max, Lauv, Saweetie",45,8,2,2,8
RE,Liar,Camila Cabello,45,-,8,2,3
NEW,Christmas Without You,Ava Max,45,-,1,2,45
NEW,Whole Lotta Choppas (Remix) [feat. Nicki Minaj],"Sada Baby, Nicki Minaj",45,-,1,2,45
▼12,"Autoestima (Feat. Lola Indigo, Alizzz) - Remix","Cupido, Lola Indigo, Alizzz",45,33,3,2,33
▼39,Say So / Like That (Mashup),Doja Cat,45,6,2,2,6
RE,Freak,Doja Cat,45,-,2,2,43
▼12,Dumb,Eva B,45,33,7,2,2
,,,,,,,
2020-09-07 to 2020-09-27,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
NEW,Read My Lips,"INNA, Farina",1,-,1,67,1
▲1,América,Eva B,2,3,3,33,1
▼2,Santería,"Lola Indigo, Danna Paola, Denise Rosenthal",3,1,2,25,1
NEW,Solo uno más,Noelia Franco,4,-,1,24,4
NEW,Tu Foto Del DNI,"Marmi, Aitana",5,-,1,16,5
NEW,Say So / Like That (Mashup),Doja Cat,6,-,1,15,6
▼2,Midnight Sky,Miley Cyrus,7,5,3,14,5
NEW,911,Lady Gaga,8,-,1,12,8
NEW,Oh My Gawd,"Major Lazer, Mr Eazi, Nicki Minaj, K4mo",8,-,1,12,8
NEW,"Kings & Queens, Pt. 2 (feat. Lauv & Saweetie)","Ava Max, Lauv, Saweetie",8,-,1,12,8
▲17,Lola Bunny,"Lola Indigo, Don Patricio",11,28,7,10,11
▲17,Me Quedo,"Aitana, Lola Indigo",11,28,7,10,8
▲23,Kings & Queens,Ava Max,13,36,5,9,4
▼11,High (Remix),"Maria Becerra, TINI, Lola Indigo",13,2,2,9,2
RE,4 besos,"Lola Indigo, Rauw Alejandro, Lalo Ebratt",15,-,6,8,2
▲1,Trendy,"Rvfv, Lola Indigo",15,16,3,8,15
▲26,Salt,Ava Max,17,43,3,7,17
▲19,Mala Cara,Lola Indigo,17,36,3,7,15
▼9,Sour Candy (with BLACKPINK),"Lady Gaga, BLACKPINK",19,10,7,6,1²
▲24,Who's Laughing Now,Ava Max,19,43,3,6,19
RE,Ya No Quiero Ná,Lola Indigo,19,-,3,6,19
RE,Mujer Bruja,"Lola Indigo, Mala Rodríguez",19,-,2,6,19
▼9,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",19,10,7,6,1
▼8,Enemigos,"Aitana, Reik",24,16,7,5,3
▲19,Ice Cream (with Selena Gomez),"BLACKPINK, Selena Gomez",24,43,2,5,24
RE,Sweet but Psycho,Ava Max,24,-,5,5,14
RE,Side To Side,"Ariana Grande, Nicki Minaj",27,-,11,4,19
RE,Into You,Ariana Grande,27,-,8,4,27
RE,Greedy,Ariana Grande,27,-,5,4,17
RE,Dangerous Woman,Ariana Grande,27,-,3,4,27
RE,Be Alright,Ariana Grande,27,-,2,4,27
RE,Everyday,"Ariana Grande, Future",27,-,2,4,27
RE,Let Me Love You,"Ariana Grande, Lil Wayne",33,-,6,3,22
NEW,Leave Me Lonely,"Ariana Grande, Macy Gray",33,-,1,3,33
▲10,"Alone, Pt. II","Alan Walker, Ava Max",33,43,4,3,8
NEW,H.E.A.V.E.N,Ava Max,33,-,1,3,33
NEW,Majesty (with Labrinth & feat. Eminem),"Nicki Minaj, Labrinth, Eminem",33,-,1,3,33
▼10,Más De Lo Que Aposté,"Aitana, Morat",33,23,3,3,7
▲10,Moment 4 Life,"Nicki Minaj, Drake",33,43,2,3,33
RE,"Autoestima (Feat. Lola Indigo, Alizzz) - Remix","Cupido, Lola Indigo, Alizzz",33,-,2,3,33
RE,Dumb,Eva B,33,-,6,3,2
▼37,God is a woman,Ariana Grande,42,5,9,2,5
▼32,no tears left to cry,Ariana Grande,42,10,9,2,10
▼26,the light is coming (feat. Nicki Minaj),"Ariana Grande, Nicki Minaj",42,16,2,2,16
RE,Anaconda,Nicki Minaj,42,-,2,2,40
NEW,Thinking Bout You,Ariana Grande,42,-,1,2,42
NEW,Bad Decisions,Ariana Grande,42,-,1,2,42
NEW,Sometimes,Ariana Grande,42,-,1,2,42
NEW,Moonlight,Ariana Grande,42,-,1,2,42
▲1,How You Like That,BLACKPINK,42,43,5,2,2
RE,Kill This Love,BLACKPINK,42,-,6,2,24
▲1,So Am I,Ava Max,42,43,9,2,9
NEW,Naked,Ava Max,42,-,1,2,42
NEW,Belladonna,Ava Max,42,-,1,2,42
NEW,Born to the Night,Ava Max,42,-,1,2,42
NEW,Tattoo,Ava Max,42,-,1,2,42
NEW,OMG What's Happening,Ava Max,42,-,1,2,42
NEW,Call Me Tonight,Ava Max,42,-,1,2,42
NEW,Take You to Hell,Ava Max,42,-,1,2,42
NEW,Rumors,Ava Max,42,-,1,2,42
RE,X (with KAROL G),"Jonas Brothers, KAROL G",42,-,6,2,7
RE,Maldición,"Lola Indigo, Lalo Ebratt",42,-,5,2,24
RE,7 rings,Ariana Grande,42,-,12,2,11
RE,Nice to Meet Ya (feat. Nicki Minaj),"Meghan Trainor, Nicki Minaj",42,-,2,2,42
NEW,Modo Avión,"Cariño, Natalia Lacunza",42,-,1,2,42
NEW,Me Gusta (with Cardi B & Myke Towers),"Anitta, Myke Towers, Cardi B",42,-,1,2,42
,,,,,,,
2020-08-17 to 2020-09-06,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
NEW,Santería,"Lola Indigo, Danna Paola, Denise Rosenthal",1,-,1,78,1
NEW,High (Remix),"Maria Becerra, TINI, Lola Indigo",2,-,1,10,2
RE,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),"Ariana Grande, Miley Cyrus, Lana Del Rey",3,-,9,9,1
▼2,América,Eva B,3,1,2,9,1
▲39,God is a woman,Ariana Grande,5,44,8,8,5
NEW,Get On Your Knees,"Nicki Minaj, Ariana Grande",5,-,1,8,5
RE,Bad To You (with Normani & Nicki Minaj),"Ariana Grande, Normani, Nicki Minaj",5,-,8,8,1
▲1,Midnight Sky,Miley Cyrus,5,6,2,8,5
▼4,tu juego,Ariadna,5,1,2,8,1
▲34,no tears left to cry,Ariana Grande,10,44,8,7,10
NEW,borderline (feat. Missy Elliott),"Ariana Grande, Missy Elliott",10,-,1,7,10
▲1,Sour Candy (with BLACKPINK),"Lady Gaga, BLACKPINK",10,11,6,7,1²
NEW,IDOL,"BTS, Nicki Minaj",10,-,1,7,10
▲7,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",10,17,6,7,1
NEW,Quiero Que Vuelvas,Samantha,10,-,1,7,10
NEW,R.E.M,Ariana Grande,16,-,1,6,16
NEW,better off,Ariana Grande,16,-,1,6,16
NEW,blazed (feat. Pharrell Williams),"Ariana Grande, Pharrell Williams",16,-,1,6,16
NEW,the light is coming (feat. Nicki Minaj),"Ariana Grande, Nicki Minaj",16,-,1,6,16
▼8,Enemigos,"Aitana, Reik",16,8,6,6,3
NEW,TROLLZ (with Nicki Minaj),"6ix9ine, Nicki Minaj",16,-,1,6,16
▲6,Trendy,"Rvfv, Lola Indigo",16,22,2,6,16
NEW,successful,Ariana Grande,23,-,1,5,23
NEW,sweetener,Ariana Grande,23,-,1,5,23
NEW,goodnight n go,Ariana Grande,23,-,1,5,23
RE,Savage Remix (feat. Beyoncé),"Beyoncé, Megan Thee Stallion",23,-,3,5,23
▼16,Más De Lo Que Aposté,"Aitana, Morat",23,7,2,5,7
NEW,raindrops (an angel cried),Ariana Grande,28,-,1,4,28
▲16,breathin,Ariana Grande,28,44,6,4,22
NEW,everytime,Ariana Grande,28,-,1,4,28
NEW,pete davidson,Ariana Grande,28,-,1,4,28
NEW,Amarillo,J Balvin,28,-,1,4,28
NEW,Dynamite,BTS,28,-,1,4,28
▲16,Lola Bunny,"Lola Indigo, Don Patricio",28,44,6,4,22
▼20,Me Quedo,"Aitana, Lola Indigo",28,8,6,4,8
NEW,get well soon,Ariana Grande,36,-,1,3,36
NEW,Feeling Myself,"Nicki Minaj, Beyoncé",36,-,1,3,36
NEW,Swish Swish,"Katy Perry, Nicki Minaj",36,-,1,3,36
RE,Kings & Queens,Ava Max,36,-,4,3,4
NEW,Say My Name,"David Guetta, Bebe Rexha, J Balvin",36,-,1,3,36
RE,Mala Cara,Lola Indigo,36,-,2,3,15
NEW,Good Form,Nicki Minaj,36,-,1,3,36
▼32,Let's Twist Again,Eva B,43,11,5,2,8
NEW,Edén,Agoney,43,-,1,2,43
NEW,Fly,"Nicki Minaj, Rihanna",43,-,1,2,43
RE,Break Free,"Ariana Grande, Zedd",43,-,4,2,23
NEW,Intro,Ariana Grande,43,-,1,2,43
NEW,Only 1,Ariana Grande,43,-,1,2,43
RE,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta, Nicki Minaj, Bebe Rexha, Afrojack",43,-,2,2,33
RE,Problem,"Ariana Grande, Iggy Azalea",43,-,5,2,22
NEW,Rojo,J Balvin,43,-,1,2,43
NEW,Relación - Remix,"Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko",43,-,1,2,43
NEW,Only,"Nicki Minaj, Drake, Lil Wayne, Chris Brown",43,-,1,2,43
▼14,How You Like That,BLACKPINK,43,29,4,2,2
NEW,Ice Cream (with Selena Gomez),"BLACKPINK, Selena Gomez",43,-,1,2,43
▲1,So Am I,Ava Max,43,44,8,2,9
▲1,"Alone, Pt. II","Alan Walker, Ava Max",43,44,3,2,8
NEW,Turn Me On (feat. Nicki Minaj),"David Guetta, Nicki Minaj",43,-,1,2,43
RE,Salt,Ava Max,43,-,2,2,24
▼14,Who's Laughing Now,Ava Max,43,29,2,2,29
NEW,Truffle Butter,"Nicki Minaj, Drake, Lil Wayne",43,-,1,2,43
NEW,Goodbye (feat. Nicki Minaj & Willy William),"Jason Derulo, David Guetta, Nicki Minaj, Willy William",43,-,1,2,43
NEW,I'm That Bitch (feat. Saweetie),"David Guetta, Saweetie",43,-,1,2,43
RE,Say So,Doja Cat,43,-,6,2,4
RE,Yo Perreo Sola,Bad Bunny,43,-,3,2,43
RE,Bed (feat. Ariana Grande),"Nicki Minaj, Ariana Grande",43,-,2,2,40
NEW,Morena Mía,Alba Reche,43,-,1,2,43
NEW,Moment 4 Life,"Nicki Minaj, Drake",43,-,1,2,43
NEW,Soldi (feat. Maikel Delacalle),"Mahmood, Maikel Delacalle",43,-,1,2,43
NEW,Tick Tock (feat. 24kGoldn),"Clean Bandit, Mabel, 24kGoldn",43,-,1,2,43
NEW,Nessun grado di separazione,Francesca Michielin,43,-,1,2,43
NEW,Freak,Doja Cat,43,-,1,2,43
,,,,,,,
2020-07-13 to 2020-08-16,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
NEW,tu juego,Ariadna,1,-,1,82,1
NEW,América,Eva B,1,-,1,82,1
RE,I Follow Rivers,Eva B,3,-,7,19,1
▼1,Dumb,Eva B,4,3,5,18,2
▲14,Se iluminaba,"Fred De Palma, Ana Mena",5,19,2,13,5
NEW,Midnight Sky,Miley Cyrus,6,-,1,11,6
NEW,Más De Lo Que Aposté,"Aitana, Morat",7,-,1,10,7
▼3,Enemigos,"Aitana, Reik",8,5,5,7,3
RE,Me Quedo,"Aitana, Lola Indigo",8,-,5,7,8
NEW,Dive,"Damien, María Escarmiento, Mike Wit",8,-,1,7,8
▲3,Let's Twist Again,Eva B,11,14,4,6,8
▼10,Sour Candy (with BLACKPINK),"Lady Gaga, BLACKPINK",11,1,5,6,1²
RE,7 rings,Ariana Grande,11,-,11,6,11
RE,"thank u, next",Ariana Grande,11,-,10,6,11
NEW,UN DIA (ONE DAY) (Feat. Tainy),"J Balvin, Dua Lipa, Bad Bunny, Tainy",11,-,1,6,11
NEW,Cristal,Aitana,11,-,1,6,11
NEW,Ya Es Hora,"Ana Mena, Becky G, De La Ghetto",17,-,1,5,17
▼3,a otro lado,Natalia Lacunza,17,14,5,5,1
▼14,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",17,3,5,5,1
RE,boyfriend (with Social House),"Ariana Grande, Social House",17,-,10,5,17
NEW,La Frase,Javy Ramírez,17,-,1,5,17
RE,Side To Side,"Ariana Grande, Nicki Minaj",22,-,10,4,19
NEW,Break My Heart,Dua Lipa,22,-,1,4,22
RE,Nada Sale Mal,Aitana,22,-,5,4,14
NEW,WAP (feat. Megan Thee Stallion),"Cardi B, Megan Thee Stallion",22,-,1,4,22
NEW,MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul",22,-,1,4,22
NEW,Trendy,"Rvfv, Lola Indigo",22,-,1,4,22
NEW,Una volta ancora (feat. Ana Mena),"Fred De Palma, Ana Mena",22,-,1,4,22
NEW,I Gotta Feeling,Black Eyed Peas,29,-,1,3,29
RE,Let Me Love You,"Ariana Grande, Lil Wayne",29,-,5,3,22
NEW,Levitating,Dua Lipa,29,-,1,3,29
▼19,How You Like That,BLACKPINK,29,10,3,3,2
NEW,Who's Laughing Now,Ava Max,29,-,1,3,29
NEW,Vas A Quedarte,Aitana,29,-,1,3,29
RE,Lola,"Iggy Azalea, Alice Chater",29,-,8,3,2
RE,RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",29,-,6,3,9
RE,"break up with your girlfriend, i'm bored",Ariana Grande,29,-,9,3,17
RE,algo duele más,"Natalia Lacunza, BRONQUIO",29,-,4,3,29
▼5,Demonios,Hugo Cobo,29,24,5,3,9
NEW,Las Vegas,Aitana,29,-,1,3,29
NEW,Ni una Vez Más,"Bruno Alves, GARABATTO",29,-,1,3,29
NEW,D'estate non vale (feat. Ana Mena),"Fred De Palma, Ana Mena",29,-,1,3,29
▼15,gracias x venir,Ariadna,29,14,4,3,10
RE,breathin,Ariana Grande,44,-,5,2,22
RE,God is a woman,Ariana Grande,44,-,7,2,21
RE,no tears left to cry,Ariana Grande,44,-,7,2,17
▼32,No Broken Hearts (feat. Nicki Minaj),"Bebe Rexha, Nicki Minaj",44,12,8,2,3
NEW,Me Vale,Miki Núñez,44,-,1,2,44
▼30,Tenia Tanto Que Darte,Nena Daconte,44,14,4,2,6
NEW,Big Girls Don't Cry (Personal),Fergie,44,-,1,2,44
NEW,Booty,"Jennifer Lopez, Iggy Azalea",44,-,1,2,44
NEW,Chun-Li,Nicki Minaj,44,-,1,2,44
NEW,Roman's Revenge,Little Mix,44,-,1,2,44
RE,Greedy,Ariana Grande,44,-,4,2,17
RE,One Last Time,Ariana Grande,44,-,6,2,22
NEW,Future Nostalgia,Dua Lipa,44,-,1,2,44
RE,Don't Start Now,Dua Lipa,44,-,6,2,10
RE,Physical,Dua Lipa,44,-,4,2,6
NEW,Love Again,Dua Lipa,44,-,1,2,44
NEW,Cool,Dua Lipa,44,-,1,2,44
NEW,Good In Bed,Dua Lipa,44,-,1,2,44
▼25,So Am I,Ava Max,44,19,7,2,9
▼36,"Alone, Pt. II","Alan Walker, Ava Max",44,8,2,2,8
RE,everything i wanted,Billie Eilish,44,-,2,2,13
▼20,X (with KAROL G),"Jonas Brothers, KAROL G",44,24,5,2,7
▼20,Say So (feat. Nicki Minaj) - Original Version,"Doja Cat, Nicki Minaj",44,24,6,2,5²
RE,+,"Aitana, Cali Y El Dandee",44,-,6,2,6
RE,olvídate de mí,Natalia Lacunza,44,-,5,2,17
▼20,Lola Bunny,"Lola Indigo, Don Patricio",44,24,5,2,22
NEW,Mejor Que Tú,Aitana,44,-,1,2,44
RE,One Dance,"Drake, WizKid, Kyla",44,-,2,2,44
NEW,MALA,"6ix9ine, Anuel AA",44,-,1,2,44
NEW,FEFE,"6ix9ine, Nicki Minaj, Murda Beatz",44,-,1,2,44
NEW,BEBE,"6ix9ine, Anuel AA",44,-,1,2,44
▼32,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofía Reyes, Jason Derulo, De La Ghetto",44,12,7,2,12
▼42,Huracán,Nick Maylo,44,2,2,2,2
▼25,Perfect,Damien,44,19,4,2,3
▼25,Castigo,María Escarmiento,44,19,6,2,1
RE,Chulo,María Escarmiento,44,-,2,2,37
NEW,Colocao,Nicki Nicole,44,-,1,2,44
▼34,Beautiful (feat. Camila Cabello),"Bazzi, Camila Cabello",44,10,4,2,10
NEW,Nothing Else Matters,Eva B,44,-,1,2,44
,,,,,,,
2020-06-29 to 2020-07-12,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
▲6,Sour Candy (with BLACKPINK),"Lady Gaga, BLACKPINK",1,7,4,21,1²
NEW,Huracán,Nick Maylo,2,-,1,19,2
▲1,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",3,4,4,16,1
▲4,Dumb,Eva B,3,7,4,16,2
'=,Enemigos,"Aitana, Reik",5,5,4,15,3
▲8,Me Iré,Anaju,6,14,4,14,4
▲16,Nunca Estoy,Anaju,6,22,4,14,3
NEW,"Alone, Pt. II","Alan Walker, Ava Max",8,-,1,13,8
NEW,Como una Gota,Rafa Romera,9,-,1,9,9
▼8,How You Like That,BLACKPINK,10,2,2,6,2
▲4,Beautiful (feat. Camila Cabello),"Bazzi, Camila Cabello",10,14,3,6,10
RE,No Broken Hearts (feat. Nicki Minaj),"Bebe Rexha, Nicki Minaj",12,-,7,5,3
▲2,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofía Reyes, Jason Derulo, De La Ghetto",12,14,6,5,12
▲20,Let's Twist Again,Eva B,14,34,3,4,8
▲8,Tenia Tanto Que Darte,Nena Daconte,14,22,3,4,6
RE,Sweet but Psycho,Ava Max,14,-,4,4,14
▼13,a otro lado,Natalia Lacunza,14,1,4,4,1
▲20,gracias x venir,Ariadna,14,34,3,4,10
RE,So Am I,Ava Max,19,-,6,3,9
▼7,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",19,12,5,3,2
▼16,Perfect,Damien,19,3,3,3,3
NEW,Se iluminaba,"Fred De Palma, Ana Mena",19,-,1,3,19
RE,Castigo,María Escarmiento,19,-,5,3,1
RE,Bad Romance,Lady Gaga,24,-,2,2,24
NEW,Treat You Better,Shawn Mendes,24,-,1,2,24
NEW,Let Me Love You,"DJ Snake, Justin Bieber",24,-,1,2,24
NEW,Breaking Me,"Topic, A7S",24,-,1,2,24
NEW,Stronger (What Doesn't Kill You),Kelly Clarkson,24,-,1,2,24
NEW,On The Floor - Radio Edit,"Jennifer Lopez, Pitbull",24,-,1,2,24
NEW,Dear Future Husband,Meghan Trainor,24,-,1,2,24
NEW,Domino,Jessie J,24,-,1,2,24
▼2,Here,Alessia Cara,24,22,5,2,10
RE,bad guy,Billie Eilish,24,-,4,2,24
▲10,Young And Beautiful,Lana Del Rey,24,34,5,2,1
NEW,Mr. Saxobeat,Alexandra Stan,24,-,1,2,24
NEW,Only Girl (In The World),Rihanna,24,-,1,2,24
NEW,Wolves,"Selena Gomez, Marshmello",24,-,1,2,24
RE,Symphony (feat. Zara Larsson),"Clean Bandit, Zara Larsson",24,-,2,2,24
NEW,I Knew You Were Trouble.,Taylor Swift,24,-,1,2,24
RE,Dance Monkey,Tones And I,24,-,8,2,1
