"['MV', 'Title', 'Artists', 'TW', 'LW', 'OC', 'PLS', 'PK']"
2022-11-07 to 2022-11-20,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
RE,Todo Lamento,Natalia Lacunza,42,-,4,2,12
RE,Muchas Cosas,Natalia Lacunza,42,-,5,2,1
RE,En El Coche,Aitana,42,-,6,2,6
▼7,Andrea,"Bad Bunny, Buscabulla",42,35,6,2,8
RE,Tiene Que Ser Para Mí,Natalia Lacunza,42,-,3,2,31
▼20,DON'T YOU WORRY,"Black Eyed Peas, Shakira, David Guetta",42,22,5,2,5
NEW,All She Wanna Do (with Saweetie),"John Legend, Saweetie",42,-,1,2,42
▼27,After LIKE,IVE,42,15,2,2,15
NEW,Pensar en Ti,"Ganges, Natalia Lacunza",42,-,1,2,42
,,,,,,,
2022-08-22 to 2022-09-18,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
NEW,I'm Good (Blue),"David Guetta, Bebe Rexha",1,-,1,163,1
NEW,Words (feat. Zara Larsson),"Alesso, Zara Larsson",2,-,1,154,2
NEW,DISCOTEKA,"Lola Indigo, Maria Becerra",3,-,1,116,3
NEW,Million Dollar Baby,Ava Max,4,-,1,86,4
NEW,negro mate,Eva B,5,-,1,70,5
▼4,NO MIENTEN - Tiësto Remix,"Becky G, Tiësto",6,2,2,67,2
▼3,La Corriente,"Marta Sango, Rakky Ripper",7,4,2,60,4
▼3,Hot in It,"Tiësto, Charli XCX",8,5,3,55,1
▼8,Quieres,"Aitana, Emilia, Ptazeta",9,1,2,53,1
'=,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",10,10,3,40,2
▼3,mariposas,"sangiovanni, Aitana",11,8,5,33,4²
NEW,Lobby,"Anitta, Missy Elliott",11,-,1,33,11
'=,AN1MAL,Lola Indigo,13,13,5,28,2
▼6,Super Freaky Girl,Nicki Minaj,14,8,2,26,8
'=,Cake,Melanie Martinez,15,15,3,15,5
▲2,Mezzanotte,Ana Mena,15,17,5,15,6
'=,"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",15,15,4,15,1
NEW,After LIKE,IVE,15,-,1,15,15
▼7,Doin' Time,Lana Del Rey,19,12,3,11,12
▼1,Caramello,"Rocco Hunt, Elettra Lamborghini, Lola Indigo",19,18,4,11,7
